순위,기업명,종목코드,2024년 매출(억원),섹터(추정),채용규모(추정),채용형태(추정),IT/전산직 채용 및 주요 직무,비고 및 특이사항,직원수(공시),"평균연봉(대표,만원)",평균연봉_출처
67,다우기술,023590,116258,기타,,수시,"시스템 운영, 인프라 관리, 기술 지원",채용 규모/특징: 수시 채용 활발. IT 기업으로서 순수 전산/인프라 직무 비중 높음,727,8541,dart
68,신한투자증권,008670,114466,금융,대규모,혼합,"금융 IT 운영, 정보보안, 클라우드 관리","채용 규모/특징: 정기 공채/수시. 대규모 IT 인력 확충 중, 금융 전산직 선호도 높음",2616,13523,dart
69,키움증권,039490,112803,금융,중간,혼합,"온라인 트레이딩 시스템 전산, 인프라",채용 규모/특징: 수시/공채. 지점 없는 증권사로 IT 부서 영향력이 절대적,987,11750,dart
70,한화에어로스페이스,012450,112401,기타,중간,혼합,"방산 제조 IT, 보안(기밀 유지), 전산 인프라",채용 규모/특징: 수시/공채. 고도의 보안이 요구되는 방산 전산 시스템 운영,7659,11786,dart
71,E1,017940,111924,에너지,극소수,,"전산 시스템 운영, 보안, ERP 관리",채용 규모/특징: 소수 (T/O 적음). 에너지 기업 특유의 높은 연봉과 워라밸,329,12046,dart
72,케이비증권,003450,108320,금융,중간,정기,"금융 시스템 운영, 네트워크 보안, DX",채용 규모/특징: 정기 공채/인턴. KB금융그룹 내 IT 직군 시너지 및 안정적 처우,3027,14430,dart
73,한화오션,042660,107760,제조·모빌리티,중간,혼합,"조선 생산 전산, 설계 시스템 지원, 보안",채용 규모/특징: 수시/공채. 거제 조선소 현장 및 본사 전산 인프라 관리,10202,8300,dart
74,NAVER,035420,107377,IT·플랫폼,대규모,혼합,"인프라 운영, 시스템 보안, 서비스 전산 관리",채용 규모/특징: 대규모 수시/공채. IT 전문 기업. 개발 외 인프라/보안 직무 탄탄함,4583,12709,dart
75,SK인천석유화학,,107284,에너지,극소수,,"정유 공정 전산, 전산 인프라 유지보수",채용 규모/특징: 극소수. 인천 지역 기반 안정적인 정유 전산직,,12000,research
76,대우건설,047040,105036,건설·엔지니어링,중간,혼합,"스마트 홈/건설 IT, 본사 전산 운영",채용 규모/특징: 수시/정기. 건설 현장 전산 지원 및 ERP 유지보수,5503,10762,dart
77,삼성전기,009150,102941,제조·모빌리티,중간,정기,"부품 제조 전산, MES/ERP 운영, 인프라",채용 규모/특징: 정기 공채 (3급). 수원/세종 공장 기반 제조 전산 인력 필수,12161,10331,dart
78,한온시스템,018880,99987,제조·모빌리티,,수시,"자동차 부품 전산 시스템, ERP 운영",채용 규모/특징: 수시 채용. 글로벌 생산 거점 통합 전산망 관리,2219,11256,dart
79,삼성E&A,028050,99666,기타,중간,혼합,"플랜트 엔지니어링 IT, 협업 시스템 운영",채용 규모/특징: 수시/정기. 글로벌 프로젝트 지원을 위한 전산 인프라 중요,5854,12717,dart
80,삼성중공업,010140,99031,제조·모빌리티,대규모,혼합,"스마트 쉽 IT, 생산 전산 운영, 보안",채용 규모/특징: 수시/정기. 거제 기반. 대규모 제조 데이터 및 네트워크 관리,10112,9216,dart
81,포스코이앤씨,,94687,건설·엔지니어링,중간,혼합,"건설 현장 전산 인프라, 스마트 시티 IT",채용 규모/특징: 수시/공채. 송도 본사 중심의 건설 IT 전략 및 운영,,10000,research
82,한국타이어앤테크놀로지,161390,94119,유통·물류,중간,혼합,"생산 공정 전산, IT 보안, ERP 관리",채용 규모/특징: 수시/정기. 대전 공장 및 본사 전산 지원 인력 상시 필요,6465,9251,dart
83,에스케이에코플랜트,,93176,건설·엔지니어링,,수시,"환경/건설 전산 시스템, IT 인프라 기획",채용 규모/특징: 수시 채용. 사업 다각화로 인한 새로운 전산 시스템 수요 발생,,10000,research
84,SK디스커버리,006120,90396,기타,극소수,,"지주사 IT 전략, 그룹사 보안 거버넌스",채용 규모/특징: 극소수. 지주사. 계열사(SK케미칼 등) IT 지원 역할,72,10147,dart
85,동원산업,006040,89442,유통·물류,중간,혼합,"물류/수산 전산 시스템 운영, 전산 행정",채용 규모/특징: 수시/정기. 식품/물류 통합 전산망 관리 업무,774,9693,dart
86,KG케미칼,001390,88631,제조·모빌리티,소규모,,"비료/소재 공정 전산, 일반 전산 지원",채용 규모/특징: 소수. 제조업 기반의 일반적인 전산 관리직,209,6555,dart
87,HL만도,204320,88482,제조·모빌리티,,수시,"자율주행 관련 IT 인프라, 제조 전산 보안",채용 규모/특징: 수시 채용. 자동차 부품 제조 특화 IT 시스템 운영,3918,10761,dart
88,BGF리테일,282330,86988,유통·물류,중간,정기,"CU 점포 시스템 운영, IT 보안, 물류 전산",채용 규모/특징: 정기 공채 (IT직군). 유통 전산직 중 교육 및 체계가 가장 잘 잡힘,3379,5230,dart
89,아시아나항공,020560,83186,기타,,수시,"항공 전산 시스템 운영, 예약 인프라, 보안",채용 규모/특징: 수시 채용. 대한항공 합병 이슈로 채용은 유동적이나 전산 필수,7933,8928,dart
90,DL이앤씨,375500,83184,건설·엔지니어링,중간,혼합,"건설 ERP 운영, 스마트 현장 IT 솔루션",채용 규모/특징: 수시/정기. 대림그룹의 핵심 건설 IT 운영 인력 채용,5589,9523,dart
91,현대위아,011210,81809,제조·모빌리티,,수시,"자동차 부품/방산 제조 전산, MES 운영",채용 규모/특징: 수시 채용. 창원 중심 제조업 기반 IT 인프라 관리,2937,12575,dart
92,카카오,035720,78717,IT·플랫폼,대규모,혼합,"플랫폼 인프라 운영, 보안, 전산 시스템 기획",채용 규모/특징: 대규모 수시/공채. 기술 중심 회사로 전산/인프라 직군 대우 우수,4028,10166,dart
93,롯데건설,,78632,건설·엔지니어링,중간,혼합,"건설 IT 시스템 유지보수, 전산 보안",채용 규모/특징: 수시/정기. 롯데 계열사 중 안정적인 건설 IT 운영 직무,,9000,research
94,효성티앤씨,298020,77761,제조·모빌리티,소규모,수시,"섬유 제조 공정 IT, 전산 인프라 지원","채용 규모/특징: 소수 수시 채용. 전형적인 제조업 전산팀 업무 (ERP, 네트워크 등)",1317,7399,dart
95,SK네트웍스,001740,76573,기타,,수시,"렌터카/가전 렌탈 전산 시스템, IT 보안",채용 규모/특징: 수시 채용. 사업 부문별 다양한 전산 시스템 운영 및 통합,1554,5965,dart
96,현대지에프홀딩스,005440,74093,유통·물류,극소수,,그룹 IT 전략 및 유통 전산 거버넌스,채용 규모/특징: 극소수 (지주사). 현대백화점 그룹 지주사. 계열사 연계 IT 기획,93,13083,dart
97,에이치디현대케미칼,,73229,제조·모빌리티,소규모,,"석유화학 전산 인프라, 공정 제어 전산",채용 규모/특징: 소수. HD현대-오일뱅크 계열로 대산 공장 상주직 위주,,10000,research
98,대림,,72876,기타,소규모,,그룹 전산 기획 및 유지관리 지원,채용 규모/특징: 소수. 대림그룹 지주사 성격. 실제 운영은 DL 계열사 중심,,11000,research
99,KG에코솔루션,151860,72849,에너지,소규모,,"환경 에너지 전산 운영, 일반 전산 지원",채용 규모/특징: 소수. 폐기물/에너지 관리 시스템 전산 유지보수,29,4369,dart
100,LG,003550,71755,기타,극소수,,"그룹 IT 거버넌스 기획, 정보보안 전략 수립",채용 규모/특징: 극소수 (지주사). LG그룹 본체. 실무 채용보다는 관리 및 정책 수립,182,19885,dart
101,금호석유화학,011780,71550,제조·모빌리티,소규모,수시,"전산 시스템 운영, 보안, ERP 관리",채용 규모/특징: 소수 수시 채용. 안정적인 제조업 기반 전산 운영,1579,9949,dart
102,SK가스,018670,70959,에너지,소규모,수시,"IT 시스템 기획 및 운영, 인프라 관리",채용 규모/특징: 소수 수시 채용. 에너지 분야 특화 데이터/전산 인력,661,11947,dart
103,에이치디현대삼호,,70031,제조·모빌리티,대규모,혼합,"조선 공정 IT 운영, 현장 전산 지원","채용 규모/특징: 수시/정기 공채. 영암 기반, 대규모 생산 인프라 관리",,8500,research
104,현대코퍼레이션,011760,69957,기타,소규모,,"글로벌 IT 인프라, ERP 유지보수",채용 규모/특징: 소수. 무역 상사 시스템 및 해외 법인 지원,252,11923,dart
105,LG생활건강,051900,68119,유통·물류,중간,혼합,"유통/제조 IT 기획, 전산 보안, ERP",채용 규모/특징: 수시/정기 공채. 소비재 유통 전산 시스템 관리,4381,7921,dart
106,LS전선,,67653,제조·모빌리티,,수시,"제조 전산 인프라 운영, MES 구축",채용 규모/특징: 수시 채용. 공장 기반 전산 유지보수 및 보안,,8000,research
107,케이씨씨,002380,66588,제조·모빌리티,중간,혼합,"전산 인프라 운영, 시스템 관리, 보안",채용 규모/특징: 수시/정기 공채. 전통 제조업 기반의 안정적 전산직,3688,8338,dart
108,신세계,004170,65704,유통·물류,중간,혼합,"백화점 전산 시스템, 인프라 지원",채용 규모/특징: 수시/정기 공채. 유통/멤버십 전산 시스템 운영,2672,8773,dart
109,여천NCC,,64489,제조·모빌리티,극소수,,"석유화학 공정 전산, 전산망 보안","채용 규모/특징: 소수 (T/O 적음). 고연봉, 여수 공장 중심 전산 운영",,13000,research
110,HDC,012630,62003,기타,극소수,,"지주사 IT 전략, 그룹 보안 거버넌스",채용 규모/특징: 극소수 (지주사). 그룹 전산 기획 및 자회사 관리,12,7600,dart
111,코오롱,002020,60284,기타,소규모,,그룹 IT 전략 기획 및 시스템 관리,채용 규모/특징: 소수 (지주사). 실무는 코오롱베니트(SI)에서 주로 수행,82,9865,dart
112,세아홀딩스,058650,60168,제조·모빌리티,소규모,,그룹 전산 감사 및 IT 전략 수립,채용 규모/특징: 소수 (지주사). 철강 계열사 IT 거버넌스 관리,64,11628,dart
113,LG씨엔에스,064400,59826,기타,대규모,정기,"시스템 개발/운영(SI/SM), 클라우드","채용 규모/특징: 대규모 공채. 국내 톱티어 IT 전문 기업, 다양한 직무",6891,11584,dart
114,GS에너지,,59577,에너지,극소수,,"에너지 IT 전략, 계열사 시스템 관리",채용 규모/특징: 극소수. 지주사 성격. IT 투자 기획 및 전략,,15000,research
115,케이티앤지,033780,59088,기타,중간,정기,"ERP 운영, 전산 보안, 데이터 분석",채용 규모/특징: 정기 공채. 안정적인 업무 환경 및 복지 우수,4442,10653,dart
116,현대캐피탈,,58858,금융,중간,혼합,"금융 IT 시스템 개발/운영, 인프라 보안",채용 규모/특징: 수시/정기 공채. 금융권 상위 수준 연봉 및 IT 기술력 중시,,12000,research
117,DL,000210,56154,건설·엔지니어링,소규모,,그룹 IT 전략 및 인프라 기획,채용 규모/특징: 소수 (지주사). 건설/화학 부문 통합 IT 거버넌스,24,22412,dart
118,한화에너지,,55851,에너지,소규모,수시,"태양광/발전 IT 시스템, 인프라 관리",채용 규모/특징: 소수 수시 채용. 에너지 솔루션 기반 전산 기획/운영,,10000,research
119,이랜드월드,,54520,유통·물류,중간,혼합,"패션 유통 전산, 이커머스 인프라",채용 규모/특징: 수시/정기 공채. 유통망 전산 및 그룹 IT 통합 운영,,7000,research
120,대상홀딩스,084690,53579,기타,극소수,,그룹 IT 전략 및 자회사 시스템 관리,채용 규모/특징: 극소수 (지주사). 식품 계열사 IT 표준화 및 기획,46,9454,dart
121,코리아세븐,,52975,유통·물류,중간,혼합,"편의점(7-Eleven) 전산, POS 운영",채용 규모/특징: 수시/정기 공채. 점포 전산 인프라 및 유통 시스템 지원,,6000,research
122,CJ ENM,035760,52314,기타,중간,혼합,"미디어/커머스 IT 운영, 보안, 플랫폼",채용 규모/특징: 수시/정기 공채. 엔터테인먼트 특화 IT 서비스 및 인프라,3023,9047,dart
123,한국증권금융,,51857,금융,중간,혼합,"금융 IT 운영, 전산 인프라 보안",채용 규모/특징: 수시/정기 공채. 증권업계의 한국은행. 매우 높은 안정성,,13000,research
124,팬오션,028670,51612,기타,,수시,"해운 전산 시스템, 글로벌 인프라",채용 규모/특징: 수시 채용. 하림 계열 해운 전산 인프라 관리,1251,10629,dart
125,삼천리,004690,51205,에너지,소규모,수시,"도시가스 IT 운영, ERP 관리, 보안",채용 규모/특징: 소수 수시 채용. 에너지 공공재 성격의 안정적 전산직,856,10327,dart
126,에스케이엔무브,,50947,기타,소규모,수시,"윤활유 공정 IT, 전산 보안 및 인프라",채용 규모/특징: 소수 수시 채용. SK이노베이션 계열. 처우 우수,,13000,research
127,호텔롯데,,50691,유통·물류,중간,혼합,"면세/호텔 전산 인프라, 보안, ERP",채용 규모/특징: 수시/정기 공채. 롯데정보통신 협업 및 자체 IT 인력 운영,,7000,research
128,에스엘,005850,49733,제조·모빌리티,,수시,"자동차 부품 전산, 스마트 팩토리, ERP",채용 규모/특징: 수시 채용. 대구 기반 자동차 램프 제조 전산 시스템,4768,8589,dart
129,아이티센글로벌,124500,49618,기타,중간,혼합,"시스템 통합(SI), IT 컨설팅, 운영",채용 규모/특징: 수시/정기 공채. IT 서비스 전문 기업. 수시 채용 활발,230,6621,dart
130,DL케미칼,,49240,기타,소규모,수시,"석유화학 제조 전산, 인프라 보안",채용 규모/특징: 소수 수시 채용. 구 여천NCC 합병 이후 전산 조직 통합 운영,,10000,research
131,효성중공업,298040,48950,제조·모빌리티,중간,혼합,"중공업 공정 IT, 전산 인프라, 보안",채용 규모/특징: 수시/정기 공채. 창원 중심 제조 IT 시스템 유지보수,3395,8447,dart
132,코오롱인더,120110,48430,기타,중간,혼합,"소재 제조 IT, 전산 시스템 관리, ERP",채용 규모/특징: 수시/정기 공채. 전산/정보기획 직렬 꾸준한 채용,3861,7734,dart
133,에이치디현대미포,010620,46300,제조·모빌리티,중간,혼합,"선박 제조 공정 IT, 현장 전산 지원",채용 규모/특징: 수시/정기 공채. 울산 기반 조선 전산 인프라 관리,4003,8771,dart
134,풍산,103140,45544,기타,소규모,정기,"방산/제조 IT 시스템, 전산 보안, ERP",채용 규모/특징: 소수 정기 공채. 보수적이지만 매우 안정적인 전산 환경,3698,9121,dart
